accel_x,accel_y,accel_z,angle_ankle,angle_knee,angle_shank,angle_thigh,current_ankle,current_knee,current_qaxis_ankle,current_qaxis_knee,ground_reaction_force_vertical,gyro_x,gyro_y,gyro_z,impedance_current_desired_ankle,impedance_current_desired_knee,impedance_damping_ankle,impedance_damping_knee,impedance_equilibrium_angle_ankle,impedance_equilibrium_angle_knee,impedance_stiffness_ankle,impedance_stiffness_knee,impedance_torque_desired_ankle,impedance_torque_desired_knee,loadcell_force_sagittal,loadcell_force_x,loadcell_force_y,loadcell_force_z,loadcell_moment_x,loadcell_moment_y,loadcell_moment_z,velocity_ankle,velocity_knee
0.029397,-0.069192,0.95436,-1.0424,-0.33413,-0.056583,0.27025,-0.071908,-0.07158,-0.027305,-0.02718,1.0436,-2.774,49.746,-0.36529,-0.010632,-0.0034344,0.0025377,0.0047316,-0.00037334,0.0034223,0.056849,0.047536,-0.00074245,-0.00025341,-71.584,-68.652,-32.583,646.1,2.7572,-15.128,-3.9562,45.031,-0.22522
0.019657,-0.065374,0.95459,-0.38352,-0.33662,0.6191,0.94827,-0.40929,-0.06855,-0.15542,-0.026029,1.0566,-3.0891,50.332,-0.39048,-0.019129,-0.00346,0.0025365,0.0047283,-0.00037334,0.0034223,0.057697,0.047536,-0.0013358,-0.0002553,-69.772,-67.868,-30.804,653.32,2.6836,-15.394,-4.185,44.778,-0.17087
0.014433,-0.060089,0.95475,0.27975,-0.33929,1.2918,1.6238,-0.75273,-0.068031,-0.28582,-0.025832,1.0757,-3.5097,51.087,-0.44021,-0.02746,-0.0034627,0.0025343,0.0047224,-0.00037334,0.0034223,0.059031,0.047536,-0.0019176,-0.00025551,-68.831,-67.607,-29.735,664.49,2.7972,-15.895,-4.4423,44.514,-0.17534
0.012966,-0.056618,0.95433,0.96062,-0.34231,1.9598,2.2948,-1.1257,-0.069596,-0.42744,-0.026427,1.0985,-4.0714,52.077,-0.61024,-0.036714,-0.003537,0.0025308,0.0047131,-0.00084042,0.0077039,0.061125,0.047536,-0.0025638,-0.00026099,-68.833,-67.723,-29.621,678.01,3.1482,-16.635,-4.7234,44.736,-0.20532
0.010219,-0.051557,0.95477,1.6502,-0.34523,2.6279,2.966,-1.5465,-0.072317,-0.58725,-0.02746,1.1221,-4.7198,53.41,-0.77523,-0.046943,-0.0034871,0.002516,0.0046744,-0.0030903,0.028328,0.064091,0.047536,-0.0032781,-0.00025731,-69.75,-68.041,-30.601,692.11,3.7551,-17.593,-5.021,45.401,-0.20542
0.0087155,-0.049353,0.95509,2.3188,-0.34805,3.3002,3.6412,-2.0034,-0.073923,-0.76074,-0.02807,1.1439,-5.4655,55.025,-0.95879,-0.057994,-0.0036241,0.0024868,0.0045976,-0.0067441,0.061821,0.067981,0.047527,-0.0040498,-0.00026741,-71.309,-68.274,-32.572,705.13,4.6003,-18.712,-5.3303,46.171,-0.20308
0.010045,-0.047522,0.95776,3.0338,-0.35103,3.9769,4.3206,-2.5276,-0.07704,-0.95977,-0.029253,1.1612,-6.2374,57.018,-1.3033,-0.070721,-0.0038311,0.0024461,0.0044879,-0.01673,0.15336,0.072514,0.04747,-0.0049386,-0.00028269,-73.387,-68.105,-35.679,715.41,5.7084,-19.964,-5.6335,47.364,-0.22856
0.01312,-0.047289,0.96194,3.7495,-0.35225,4.6635,5.0086,-3.1389,-0.083235,-1.1919,-0.031606,1.1724,-6.9853,59.342,-1.6376,-0.085483,-0.0043684,0.0023769,0.0043011,-0.028615,0.2623,0.077606,0.047372,-0.0059695,-0.00032234,-75.861,-67.336,-39.947,721.92,7.1027,-21.341,-5.9153,48.483,-0.026278
0.017632,-0.047963,0.96846,4.4725,-0.34589,5.3537,5.6924,-3.8481,-0.1075,-1.4612,-0.040821,1.1759,-7.7356,61.994,-2.0267,-0.10227,-0.0051231,0.0022691,0.0040102,-0.041995,0.38495,0.082981,0.047273,-0.0071415,-0.00037802,-78.524,-65.799,-45.251,723.72,8.7841,-22.814,-6.1464,49.432,0.34361
0.012942,-0.052817,0.97966,5.2142,-0.33174,6.0791,6.4036,-4.6485,-0.13168,-1.7651,-0.050002,1.1709,-8.5218,65.11,-2.3195,-0.12052,-0.0054998,0.0021136,0.0035927,-0.059015,0.54097,0.088704,0.047127,-0.0084163,-0.00040582,-80.891,-63.165,-51.233,720.29,10.725,-24.31,-6.2988,50.617,0.74315
-0.010045,-0.061065,0.99932,5.9662,-0.31295,6.8586,7.1645,-5.5377,-0.14204,-2.1027,-0.053934,1.1572,-9.1938,68.17,-2.7372,-0.14105,-0.0067644,0.0019439,0.003137,-0.088635,0.83189,0.094612,0.046852,-0.0098496,-0.00049913,-82.253,-59.077,-57.246,711.59,12.838,-25.727,-6.3245,50.62,0.69796
-0.043312,-0.063948,1.0326,6.6881,-0.28936,7.7169,7.9992,-6.5047,-0.1614,-2.47,-0.061285,1.1362,-9.6617,70.596,-3.4679,-0.16058,-0.0059251,0.0017724,0.0026782,-0.12749,1.3165,0.10048,0.046393,-0.011214,-0.0004372,-82.205,-53.156,-63.099,698.59,15.184,-27.136,-6.1696,47.561,1.5422
-0.0578,-0.068941,1.0692,7.3235,-0.25362,8.6406,8.8867,-7.5068,-0.18086,-2.8505,-0.068675,1.1116,-9.9883,72.428,-4.5283,-0.18057,-0.008125,0.0016232,0.0022843,-0.19334,2.0341,0.10606,0.045787,-0.01261,-0.00059953,-81.611,-45.855,-69.56,683.61,17.907,-28.74,-5.8111,40.454,2.6011
-0.046328,-0.072268,1.108,7.8313,-0.20772,9.6292,9.8293,-8.5305,-0.21785,-3.2392,-0.082721,1.0869,-10.143,74.037,-6.2213,-0.19767,-0.011211,0.001511,0.0019968,-0.26133,2.9192,0.11089,0.045014,-0.013804,-0.00082726,-81.454,-37.799,-77.393,668.58,21.108,-30.671,-5.2553,29.942,2.4819
-0.028539,-0.074869,1.1418,8.1868,-0.14265,10.669,10.805,-9.5635,-0.28593,-3.6314,-0.10857,1.0631,-10.435,75.521,-7.898,-0.21273,-0.015171,0.0014284,0.0017869,-0.35427,3.9748,0.11479,0.044167,-0.014855,-0.0011194,-81.872,-29.704,-86.08,654.24,24.581,-32.809,-4.5915,19.344,3.9097
-0.023206,-0.06996,1.157,8.3925,-0.037941,11.745,11.776,-10.522,-0.39406,-3.9955,-0.14963,1.0372,-10.879,77.159,-9.428,-0.22495,-0.019746,0.0013506,0.0016002,-0.4769,5.0989,0.11812,0.043425,-0.015709,-0.001457,-81.247,-21.629,-93.272,638.89,27.748,-34.675,-3.9354,10.532,6.2235
-0.018207,-0.063623,1.1592,8.4861,0.1097,12.868,12.751,-11.367,-0.50608,-4.3162,-0.19217,1.0018,-11.701,79.273,-10.386,-0.23394,-0.025632,0.0012741,0.0014327,-0.61341,6.549,0.12089,0.042533,-0.016336,-0.0018913,-77.135,-13.066,-96.019,618.45,29.943,-35.655,-3.3461,4.0061,9.1657
